Pelicula,Sala,Horario,Fecha,Cine,Pelicula_URL,Titulo_Original,Director,Duración,Nacionalidad,Reparto,Sinopsis,Trailer_URL,Poster_URL
Dos fiscales (VOSE),03,17:00,2026-03-30,Golem Madrid,https://golem.es/golem/pelicula/Dos-fiscales-(V.O.S.E.),Two Prosecutors,Sergei Loznitsa,118 min.,FRANCIA,"Aleksandr Kuznetsov, Anatoli Beliy, Vytautas Kaniušonis","Unión Soviética, 1937. Miles de cartas de detenidos acusados falsamente por el régimen son quemadas en una celda de la prisión. Contra todo pronóstico, una de ellas llega a su destino, el escritorio del recién nombrado fiscal local, Alexander Kornyev. Kornyev hace todo lo posible por reunirse con el prisionero, víctima de los agentes de la policía secreta, la NKVD. El joven fiscal, un bolchevique íntegro y dedicado, sospecha que se trata de un juego sucio. Su búsqueda de justicia lo llevará hasta la oficina del Fiscal General en Moscú. En la época de las grandes purgas estalinistas, un hombre se sumerge en los pasillos de un régimen que no quiere ser llamado totalitario.",https://www.youtube.com/embed/BnnCssv8WaM?controls=0&modestbranding=1&rel=0&showinfo=0&iv_load_policy=3,https://golem.es/golem/carteles/2026/February/hd-1770118930.jpg
Dos fiscales (VOSE),03,22:00,2026-03-30,Golem Madrid,https://golem.es/golem/pelicula/Dos-fiscales-(V.O.S.E.),Two Prosecutors,Sergei Loznitsa,118 min.,FRANCIA,"Aleksandr Kuznetsov, Anatoli Beliy, Vytautas Kaniušonis","Unión Soviética, 1937. Miles de cartas de detenidos acusados falsamente por el régimen son quemadas en una celda de la prisión. Contra todo pronóstico, una de ellas llega a su destino, el escritorio del recién nombrado fiscal local, Alexander Kornyev. Kornyev hace todo lo posible por reunirse con el prisionero, víctima de los agentes de la policía secreta, la NKVD. El joven fiscal, un bolchevique íntegro y dedicado, sospecha que se trata de un juego sucio. Su búsqueda de justicia lo llevará hasta la oficina del Fiscal General en Moscú. En la época de las grandes purgas estalinistas, un hombre se sumerge en los pasillos de un régimen que no quiere ser llamado totalitario.",https://www.youtube.com/embed/BnnCssv8WaM?controls=0&modestbranding=1&rel=0&showinfo=0&iv_load_policy=3,https://golem.es/golem/carteles/2026/February/hd-1770118930.jpg
El último vikingo (VOSE),01,16:30,2026-03-30,Golem Madrid,https://golem.es/golem/pelicula/El-ultimo-vikingo-(V.O.S.E.),,,,,,,,
Amarga Navidad,05,18:15,2026-03-30,Golem Madrid,https://golem.es/golem/pelicula/Amarga-Navidad,Amarga Navidad,Pedro Almodóvar,111 min.,ESPAÃA,"Bárbara Lennie, Leonardo Sbaraglia, Aitana Sánchez-Gijón, Victoria Luengo y Patrick Criado","Elsa es una directora de publicidad cuya madre muere durante un largo puente del mes de diciembre. Encuentra refugio en el trabajo, aunque es más bien una huida hacia adelante. Trabaja sin parar y, sin darse cuenta, no se concede el tiempo necesario para guardar el duelo por la ausencia materna. Hasta que una crisis de pánico la obliga a detenerse e imponerse un descanso. Su pareja, Bonifacio, es su tabla de salvación en esos momentos de crisis. Elsa decide viajar a la isla de Lanzarote acompañada por su amiga Patricia, que también necesita alejarse de Madrid, mientras que Bonifacio se queda en la ciudad. La historia de estos tres personajes, y algunos más, se narran paralelamente a la del guionista y director de cine Raúl Durán, entremezclando ficción y realidad. Porque ‘Amarga Navidad’ desarrolla cómo la vida y la ficción están unidas de un modo indisoluble, incluso doloroso en ocasiones.",https://www.youtube.com/embed/SNbVMk-nLu4?controls=0&modestbranding=1&rel=0&showinfo=0&iv_load_policy=3,https://golem.es/golem/carteles/2026/February/hd-1771945530-12938.jpg
Altas capacidades,04,18:15,2026-03-30,Golem Madrid,https://golem.es/golem/pelicula/Altas-capacidades,Altas capacidades,Víctor García León,101 min.,ESPAÃA,"Marián Álvarez, Israel Elejalde, Juan Diego Botto, Pilar Castro, Natalia Reyes, Suso Nanclares","Alicia y Gonzalo, una pareja de clase media, se encuentran con la oportunidad de matricular a su hijo Fer en un colegio laico de élite. Para los padres supone asomar la cabeza en la clase alta, nuevas amistades, mayores ingresos, ventajas incontables. Dicen hacerlo por su hijo. En esta maravillosa contradicción entre los miedos y los principios morales, las aspiraciones de la pareja se llevarán por delante lo que, hasta entonces, creían incuestionable.",https://www.youtube.com/embed/E3UWcrPLnhc?controls=0&modestbranding=1&rel=0&showinfo=0&iv_load_policy=3,https://golem.es/golem/carteles/2026/February/hd-1770807106-12941.jpg
La hija pequeña (VOSE),01,19:00,2026-03-30,Golem Madrid,https://golem.es/golem/pelicula/La-hija-pequena-(V.O.S.E.),,,,,,,,
Amarga Navidad,02,17:00,2026-03-30,Golem Madrid,https://golem.es/golem/pelicula/Amarga-Navidad,Amarga Navidad,Pedro Almodóvar,111 min.,ESPAÃA,"Bárbara Lennie, Leonardo Sbaraglia, Aitana Sánchez-Gijón, Victoria Luengo y Patrick Criado","Elsa es una directora de publicidad cuya madre muere durante un largo puente del mes de diciembre. Encuentra refugio en el trabajo, aunque es más bien una huida hacia adelante. Trabaja sin parar y, sin darse cuenta, no se concede el tiempo necesario para guardar el duelo por la ausencia materna. Hasta que una crisis de pánico la obliga a detenerse e imponerse un descanso. Su pareja, Bonifacio, es su tabla de salvación en esos momentos de crisis. Elsa decide viajar a la isla de Lanzarote acompañada por su amiga Patricia, que también necesita alejarse de Madrid, mientras que Bonifacio se queda en la ciudad. La historia de estos tres personajes, y algunos más, se narran paralelamente a la del guionista y director de cine Raúl Durán, entremezclando ficción y realidad. Porque ‘Amarga Navidad’ desarrolla cómo la vida y la ficción están unidas de un modo indisoluble, incluso doloroso en ocasiones.",https://www.youtube.com/embed/SNbVMk-nLu4?controls=0&modestbranding=1&rel=0&showinfo=0&iv_load_policy=3,https://golem.es/golem/carteles/2026/February/hd-1771945530-12938.jpg
El agente secreto (VOSE),05,20:30,2026-03-30,Golem Madrid,https://golem.es/golem/pelicula/El-agente-secreto-(V.O.S.E.),O Agente Secreto,Kleber Mendonça Filho,161 min.,"Francia, Brasi","Wagner Moura, Maria Fernanda Cândido, Gabriel Leone, Carlos Francisco, Alice Carvalho","Un profesor universitario viaja desde São Paulo a la ciudad costera de Recife durante la semana de Carnaval con la esperanza de reencontrarse con su hijo. Pronto descubre que es seguido y vigilado por los vecinos de su nuevo refugio, sin escapatoria de las garras de la corrupción.",https://www.youtube.com/embed/eEIpEQ7eAV0?controls=0&modestbranding=1&rel=0&showinfo=0&iv_load_policy=3,https://golem.es/golem/carteles/2026/February/hd-1770807418-12879.jpg
Altas capacidades,04,22:15,2026-03-30,Golem Madrid,https://golem.es/golem/pelicula/Altas-capacidades,Altas capacidades,Víctor García León,101 min.,ESPAÃA,"Marián Álvarez, Israel Elejalde, Juan Diego Botto, Pilar Castro, Natalia Reyes, Suso Nanclares","Alicia y Gonzalo, una pareja de clase media, se encuentran con la oportunidad de matricular a su hijo Fer en un colegio laico de élite. Para los padres supone asomar la cabeza en la clase alta, nuevas amistades, mayores ingresos, ventajas incontables. Dicen hacerlo por su hijo. En esta maravillosa contradicción entre los miedos y los principios morales, las aspiraciones de la pareja se llevarán por delante lo que, hasta entonces, creían incuestionable.",https://www.youtube.com/embed/E3UWcrPLnhc?controls=0&modestbranding=1&rel=0&showinfo=0&iv_load_policy=3,https://golem.es/golem/carteles/2026/February/hd-1770807106-12941.jpg
La hija pequeña (VOSE),01,21:30,2026-03-30,Golem Madrid,https://golem.es/golem/pelicula/La-hija-pequena-(V.O.S.E.),,,,,,,,
Altas capacidades,04,20:20,2026-03-30,Golem Madrid,https://golem.es/golem/pelicula/Altas-capacidades,Altas capacidades,Víctor García León,101 min.,ESPAÃA,"Marián Álvarez, Israel Elejalde, Juan Diego Botto, Pilar Castro, Natalia Reyes, Suso Nanclares","Alicia y Gonzalo, una pareja de clase media, se encuentran con la oportunidad de matricular a su hijo Fer en un colegio laico de élite. Para los padres supone asomar la cabeza en la clase alta, nuevas amistades, mayores ingresos, ventajas incontables. Dicen hacerlo por su hijo. En esta maravillosa contradicción entre los miedos y los principios morales, las aspiraciones de la pareja se llevarán por delante lo que, hasta entonces, creían incuestionable.",https://www.youtube.com/embed/E3UWcrPLnhc?controls=0&modestbranding=1&rel=0&showinfo=0&iv_load_policy=3,https://golem.es/golem/carteles/2026/February/hd-1770807106-12941.jpg
La hija pequeña (VOSE),04,21:30,2026-03-31,Golem Madrid,https://golem.es/golem/pelicula/La-hija-pequena-(V.O.S.E.),,,,,,,,
Amarga Navidad,02,17:00,2026-03-31,Golem Madrid,https://golem.es/golem/pelicula/Amarga-Navidad,Amarga Navidad,Pedro Almodóvar,111 min.,ESPAÃA,"Bárbara Lennie, Leonardo Sbaraglia, Aitana Sánchez-Gijón, Victoria Luengo y Patrick Criado","Elsa es una directora de publicidad cuya madre muere durante un largo puente del mes de diciembre. Encuentra refugio en el trabajo, aunque es más bien una huida hacia adelante. Trabaja sin parar y, sin darse cuenta, no se concede el tiempo necesario para guardar el duelo por la ausencia materna. Hasta que una crisis de pánico la obliga a detenerse e imponerse un descanso. Su pareja, Bonifacio, es su tabla de salvación en esos momentos de crisis. Elsa decide viajar a la isla de Lanzarote acompañada por su amiga Patricia, que también necesita alejarse de Madrid, mientras que Bonifacio se queda en la ciudad. La historia de estos tres personajes, y algunos más, se narran paralelamente a la del guionista y director de cine Raúl Durán, entremezclando ficción y realidad. Porque ‘Amarga Navidad’ desarrolla cómo la vida y la ficción están unidas de un modo indisoluble, incluso doloroso en ocasiones.",https://www.youtube.com/embed/SNbVMk-nLu4?controls=0&modestbranding=1&rel=0&showinfo=0&iv_load_policy=3,https://golem.es/golem/carteles/2026/February/hd-1771945530-12938.jpg
Dos fiscales (VOSE),03,22:00,2026-03-31,Golem Madrid,https://golem.es/golem/pelicula/Dos-fiscales-(V.O.S.E.),Two Prosecutors,Sergei Loznitsa,118 min.,FRANCIA,"Aleksandr Kuznetsov, Anatoli Beliy, Vytautas Kaniušonis","Unión Soviética, 1937. Miles de cartas de detenidos acusados falsamente por el régimen son quemadas en una celda de la prisión. Contra todo pronóstico, una de ellas llega a su destino, el escritorio del recién nombrado fiscal local, Alexander Kornyev. Kornyev hace todo lo posible por reunirse con el prisionero, víctima de los agentes de la policía secreta, la NKVD. El joven fiscal, un bolchevique íntegro y dedicado, sospecha que se trata de un juego sucio. Su búsqueda de justicia lo llevará hasta la oficina del Fiscal General en Moscú. En la época de las grandes purgas estalinistas, un hombre se sumerge en los pasillos de un régimen que no quiere ser llamado totalitario.",https://www.youtube.com/embed/BnnCssv8WaM?controls=0&modestbranding=1&rel=0&showinfo=0&iv_load_policy=3,https://golem.es/golem/carteles/2026/February/hd-1770118930.jpg
Altas capacidades,01,20:20,2026-03-31,Golem Madrid,https://golem.es/golem/pelicula/Altas-capacidades,Altas capacidades,Víctor García León,101 min.,ESPAÃA,"Marián Álvarez, Israel Elejalde, Juan Diego Botto, Pilar Castro, Natalia Reyes, Suso Nanclares","Alicia y Gonzalo, una pareja de clase media, se encuentran con la oportunidad de matricular a su hijo Fer en un colegio laico de élite. Para los padres supone asomar la cabeza en la clase alta, nuevas amistades, mayores ingresos, ventajas incontables. Dicen hacerlo por su hijo. En esta maravillosa contradicción entre los miedos y los principios morales, las aspiraciones de la pareja se llevarán por delante lo que, hasta entonces, creían incuestionable.",https://www.youtube.com/embed/E3UWcrPLnhc?controls=0&modestbranding=1&rel=0&showinfo=0&iv_load_policy=3,https://golem.es/golem/carteles/2026/February/hd-1770807106-12941.jpg
Amarga Navidad,05,16:00,2026-03-31,Golem Madrid,https://golem.es/golem/pelicula/Amarga-Navidad,Amarga Navidad,Pedro Almodóvar,111 min.,ESPAÃA,"Bárbara Lennie, Leonardo Sbaraglia, Aitana Sánchez-Gijón, Victoria Luengo y Patrick Criado","Elsa es una directora de publicidad cuya madre muere durante un largo puente del mes de diciembre. Encuentra refugio en el trabajo, aunque es más bien una huida hacia adelante. Trabaja sin parar y, sin darse cuenta, no se concede el tiempo necesario para guardar el duelo por la ausencia materna. Hasta que una crisis de pánico la obliga a detenerse e imponerse un descanso. Su pareja, Bonifacio, es su tabla de salvación en esos momentos de crisis. Elsa decide viajar a la isla de Lanzarote acompañada por su amiga Patricia, que también necesita alejarse de Madrid, mientras que Bonifacio se queda en la ciudad. La historia de estos tres personajes, y algunos más, se narran paralelamente a la del guionista y director de cine Raúl Durán, entremezclando ficción y realidad. Porque ‘Amarga Navidad’ desarrolla cómo la vida y la ficción están unidas de un modo indisoluble, incluso doloroso en ocasiones.",https://www.youtube.com/embed/SNbVMk-nLu4?controls=0&modestbranding=1&rel=0&showinfo=0&iv_load_policy=3,https://golem.es/golem/carteles/2026/February/hd-1771945530-12938.jpg
El último vikingo (VOSE),04,16:30,2026-03-31,Golem Madrid,https://golem.es/golem/pelicula/El-ultimo-vikingo-(V.O.S.E.),,,,,,,,
El agente secreto (VOSE),05,20:30,2026-03-31,Golem Madrid,https://golem.es/golem/pelicula/El-agente-secreto-(V.O.S.E.),O Agente Secreto,Kleber Mendonça Filho,161 min.,"Francia, Brasi","Wagner Moura, Maria Fernanda Cândido, Gabriel Leone, Carlos Francisco, Alice Carvalho","Un profesor universitario viaja desde São Paulo a la ciudad costera de Recife durante la semana de Carnaval con la esperanza de reencontrarse con su hijo. Pronto descubre que es seguido y vigilado por los vecinos de su nuevo refugio, sin escapatoria de las garras de la corrupción.",https://www.youtube.com/embed/eEIpEQ7eAV0?controls=0&modestbranding=1&rel=0&showinfo=0&iv_load_policy=3,https://golem.es/golem/carteles/2026/February/hd-1770807418-12879.jpg
Amarga Navidad,05,18:15,2026-03-31,Golem Madrid,https://golem.es/golem/pelicula/Amarga-Navidad,Amarga Navidad,Pedro Almodóvar,111 min.,ESPAÃA,"Bárbara Lennie, Leonardo Sbaraglia, Aitana Sánchez-Gijón, Victoria Luengo y Patrick Criado","Elsa es una directora de publicidad cuya madre muere durante un largo puente del mes de diciembre. Encuentra refugio en el trabajo, aunque es más bien una huida hacia adelante. Trabaja sin parar y, sin darse cuenta, no se concede el tiempo necesario para guardar el duelo por la ausencia materna. Hasta que una crisis de pánico la obliga a detenerse e imponerse un descanso. Su pareja, Bonifacio, es su tabla de salvación en esos momentos de crisis. Elsa decide viajar a la isla de Lanzarote acompañada por su amiga Patricia, que también necesita alejarse de Madrid, mientras que Bonifacio se queda en la ciudad. La historia de estos tres personajes, y algunos más, se narran paralelamente a la del guionista y director de cine Raúl Durán, entremezclando ficción y realidad. Porque ‘Amarga Navidad’ desarrolla cómo la vida y la ficción están unidas de un modo indisoluble, incluso doloroso en ocasiones.",https://www.youtube.com/embed/SNbVMk-nLu4?controls=0&modestbranding=1&rel=0&showinfo=0&iv_load_policy=3,https://golem.es/golem/carteles/2026/February/hd-1771945530-12938.jpg
Altas capacidades,01,18:15,2026-03-31,Golem Madrid,https://golem.es/golem/pelicula/Altas-capacidades,Altas capacidades,Víctor García León,101 min.,ESPAÃA,"Marián Álvarez, Israel Elejalde, Juan Diego Botto, Pilar Castro, Natalia Reyes, Suso Nanclares","Alicia y Gonzalo, una pareja de clase media, se encuentran con la oportunidad de matricular a su hijo Fer en un colegio laico de élite. Para los padres supone asomar la cabeza en la clase alta, nuevas amistades, mayores ingresos, ventajas incontables. Dicen hacerlo por su hijo. En esta maravillosa contradicción entre los miedos y los principios morales, las aspiraciones de la pareja se llevarán por delante lo que, hasta entonces, creían incuestionable.",https://www.youtube.com/embed/E3UWcrPLnhc?controls=0&modestbranding=1&rel=0&showinfo=0&iv_load_policy=3,https://golem.es/golem/carteles/2026/February/hd-1770807106-12941.jpg
Love Me Tender (VOSE),04,19:00,2026-03-31,Golem Madrid,https://golem.es/golem/pelicula/Love-Me-Tender-(V.O.S.E.),Love Me Tender,Anna Cazenave Cambet,134 min.,FRANCIA,"Vicky Krieps, Monica Chokri, Vigo Ferreira-Reider","Un final de verano, Clémence le cuenta a su ex marido que mantiene relaciones amorosas con mujeres. Su vida da un vuelco cuando él se queda con la custodia del hijo que tienen en común. Clémence deberá luchar para seguir siendo madre, mujer y mujer libre.",https://www.youtube.com/embed/n60G4OaRCA0?controls=0&modestbranding=1&rel=0&showinfo=0&iv_load_policy=3,https://golem.es/golem/carteles/2026/January/hd-1769087152.jpg
Amarga Navidad,02,19:30,2026-03-31,Golem Madrid,https://golem.es/golem/pelicula/Amarga-Navidad,Amarga Navidad,Pedro Almodóvar,111 min.,ESPAÃA,"Bárbara Lennie, Leonardo Sbaraglia, Aitana Sánchez-Gijón, Victoria Luengo y Patrick Criado","Elsa es una directora de publicidad cuya madre muere durante un largo puente del mes de diciembre. Encuentra refugio en el trabajo, aunque es más bien una huida hacia adelante. Trabaja sin parar y, sin darse cuenta, no se concede el tiempo necesario para guardar el duelo por la ausencia materna. Hasta que una crisis de pánico la obliga a detenerse e imponerse un descanso. Su pareja, Bonifacio, es su tabla de salvación en esos momentos de crisis. Elsa decide viajar a la isla de Lanzarote acompañada por su amiga Patricia, que también necesita alejarse de Madrid, mientras que Bonifacio se queda en la ciudad. La historia de estos tres personajes, y algunos más, se narran paralelamente a la del guionista y director de cine Raúl Durán, entremezclando ficción y realidad. Porque ‘Amarga Navidad’ desarrolla cómo la vida y la ficción están unidas de un modo indisoluble, incluso doloroso en ocasiones.",https://www.youtube.com/embed/SNbVMk-nLu4?controls=0&modestbranding=1&rel=0&showinfo=0&iv_load_policy=3,https://golem.es/golem/carteles/2026/February/hd-1771945530-12938.jpg
Altas capacidades,01,22:15,2026-03-31,Golem Madrid,https://golem.es/golem/pelicula/Altas-capacidades,Altas capacidades,Víctor García León,101 min.,ESPAÃA,"Marián Álvarez, Israel Elejalde, Juan Diego Botto, Pilar Castro, Natalia Reyes, Suso Nanclares","Alicia y Gonzalo, una pareja de clase media, se encuentran con la oportunidad de matricular a su hijo Fer en un colegio laico de élite. Para los padres supone asomar la cabeza en la clase alta, nuevas amistades, mayores ingresos, ventajas incontables. Dicen hacerlo por su hijo. En esta maravillosa contradicción entre los miedos y los principios morales, las aspiraciones de la pareja se llevarán por delante lo que, hasta entonces, creían incuestionable.",https://www.youtube.com/embed/E3UWcrPLnhc?controls=0&modestbranding=1&rel=0&showinfo=0&iv_load_policy=3,https://golem.es/golem/carteles/2026/February/hd-1770807106-12941.jpg
Dos fiscales (VOSE),03,17:00,2026-03-31,Golem Madrid,https://golem.es/golem/pelicula/Dos-fiscales-(V.O.S.E.),Two Prosecutors,Sergei Loznitsa,118 min.,FRANCIA,"Aleksandr Kuznetsov, Anatoli Beliy, Vytautas Kaniušonis","Unión Soviética, 1937. Miles de cartas de detenidos acusados falsamente por el régimen son quemadas en una celda de la prisión. Contra todo pronóstico, una de ellas llega a su destino, el escritorio del recién nombrado fiscal local, Alexander Kornyev. Kornyev hace todo lo posible por reunirse con el prisionero, víctima de los agentes de la policía secreta, la NKVD. El joven fiscal, un bolchevique íntegro y dedicado, sospecha que se trata de un juego sucio. Su búsqueda de justicia lo llevará hasta la oficina del Fiscal General en Moscú. En la época de las grandes purgas estalinistas, un hombre se sumerge en los pasillos de un régimen que no quiere ser llamado totalitario.",https://www.youtube.com/embed/BnnCssv8WaM?controls=0&modestbranding=1&rel=0&showinfo=0&iv_load_policy=3,https://golem.es/golem/carteles/2026/February/hd-1770118930.jpg
Altas capacidades,01,16:05,2026-03-31,Golem Madrid,https://golem.es/golem/pelicula/Altas-capacidades,Altas capacidades,Víctor García León,101 min.,ESPAÃA,"Marián Álvarez, Israel Elejalde, Juan Diego Botto, Pilar Castro, Natalia Reyes, Suso Nanclares","Alicia y Gonzalo, una pareja de clase media, se encuentran con la oportunidad de matricular a su hijo Fer en un colegio laico de élite. Para los padres supone asomar la cabeza en la clase alta, nuevas amistades, mayores ingresos, ventajas incontables. Dicen hacerlo por su hijo. En esta maravillosa contradicción entre los miedos y los principios morales, las aspiraciones de la pareja se llevarán por delante lo que, hasta entonces, creían incuestionable.",https://www.youtube.com/embed/E3UWcrPLnhc?controls=0&modestbranding=1&rel=0&showinfo=0&iv_load_policy=3,https://golem.es/golem/carteles/2026/February/hd-1770807106-12941.jpg
Dos fiscales (VOSE),03,19:30,2026-03-31,Golem Madrid,https://golem.es/golem/pelicula/Dos-fiscales-(V.O.S.E.),Two Prosecutors,Sergei Loznitsa,118 min.,FRANCIA,"Aleksandr Kuznetsov, Anatoli Beliy, Vytautas Kaniušonis","Unión Soviética, 1937. Miles de cartas de detenidos acusados falsamente por el régimen son quemadas en una celda de la prisión. Contra todo pronóstico, una de ellas llega a su destino, el escritorio del recién nombrado fiscal local, Alexander Kornyev. Kornyev hace todo lo posible por reunirse con el prisionero, víctima de los agentes de la policía secreta, la NKVD. El joven fiscal, un bolchevique íntegro y dedicado, sospecha que se trata de un juego sucio. Su búsqueda de justicia lo llevará hasta la oficina del Fiscal General en Moscú. En la época de las grandes purgas estalinistas, un hombre se sumerge en los pasillos de un régimen que no quiere ser llamado totalitario.",https://www.youtube.com/embed/BnnCssv8WaM?controls=0&modestbranding=1&rel=0&showinfo=0&iv_load_policy=3,https://golem.es/golem/carteles/2026/February/hd-1770118930.jpg
Amarga Navidad,02,22:00,2026-03-31,Golem Madrid,https://golem.es/golem/pelicula/Amarga-Navidad,Amarga Navidad,Pedro Almodóvar,111 min.,ESPAÃA,"Bárbara Lennie, Leonardo Sbaraglia, Aitana Sánchez-Gijón, Victoria Luengo y Patrick Criado","Elsa es una directora de publicidad cuya madre muere durante un largo puente del mes de diciembre. Encuentra refugio en el trabajo, aunque es más bien una huida hacia adelante. Trabaja sin parar y, sin darse cuenta, no se concede el tiempo necesario para guardar el duelo por la ausencia materna. Hasta que una crisis de pánico la obliga a detenerse e imponerse un descanso. Su pareja, Bonifacio, es su tabla de salvación en esos momentos de crisis. Elsa decide viajar a la isla de Lanzarote acompañada por su amiga Patricia, que también necesita alejarse de Madrid, mientras que Bonifacio se queda en la ciudad. La historia de estos tres personajes, y algunos más, se narran paralelamente a la del guionista y director de cine Raúl Durán, entremezclando ficción y realidad. Porque ‘Amarga Navidad’ desarrolla cómo la vida y la ficción están unidas de un modo indisoluble, incluso doloroso en ocasiones.",https://www.youtube.com/embed/SNbVMk-nLu4?controls=0&modestbranding=1&rel=0&showinfo=0&iv_load_policy=3,https://golem.es/golem/carteles/2026/February/hd-1771945530-12938.jpg
